symbol,ts,open,high,low,close,volume,count
ETH,2026-05-01 12:00:00+00:00,2285.2,2324.2,2282.9,2306.9,117085.0392,48759
ETH,2026-05-01 16:00:00+00:00,2306.8,2313.4,2297.2,2303.9,39555.0097,23016
ETH,2026-05-01 20:00:00+00:00,2303.9,2304.9,2278.0,2294.7,56721.8104,23557
ETH,2026-05-02 00:00:00+00:00,2294.7,2307.3,2291.9,2303.4,13283.0596,11384
ETH,2026-05-02 04:00:00+00:00,2303.4,2306.0,2296.0,2300.2,22547.9162,9178
ETH,2026-05-02 08:00:00+00:00,2300.2,2306.9,2298.4,2301.2,15306.678,8133
ETH,2026-05-02 12:00:00+00:00,2301.1,2310.8,2300.2,2307.9,16554.9236,7980
ETH,2026-05-02 16:00:00+00:00,2308.0,2312.7,2303.2,2310.5,24308.15,9909
ETH,2026-05-02 20:00:00+00:00,2310.5,2341.9,2309.2,2316.0,47706.9389,19358
ETH,2026-05-03 00:00:00+00:00,2316.1,2316.6,2298.0,2301.1,18866.1091,12438
ETH,2026-05-03 04:00:00+00:00,2301.0,2313.0,2296.8,2308.1,13726.717,12633
ETH,2026-05-03 08:00:00+00:00,2308.1,2326.8,2306.5,2318.6,43193.3546,15893
ETH,2026-05-03 12:00:00+00:00,2318.5,2335.4,2318.5,2327.4,42023.4562,16854
ETH,2026-05-03 16:00:00+00:00,2327.5,2336.7,2321.3,2334.7,21063.0701,16395
ETH,2026-05-03 20:00:00+00:00,2334.7,2355.5,2313.8,2321.7,74013.8186,38086
ETH,2026-05-04 00:00:00+00:00,2321.8,2390.0,2308.4,2383.9,100479.363,54533
ETH,2026-05-04 04:00:00+00:00,2383.9,2397.9,2353.2,2361.9,52844.1002,28170
ETH,2026-05-04 08:00:00+00:00,2361.8,2370.4,2313.3,2336.4,91908.6607,42498
ETH,2026-05-04 12:00:00+00:00,2336.4,2380.7,2324.7,2349.0,108056.0428,50848
ETH,2026-05-04 16:00:00+00:00,2349.0,2378.3,2335.7,2355.4,70922.6311,38096
ETH,2026-05-04 20:00:00+00:00,2355.4,2364.3,2343.2,2346.0,20982.1452,17552
ETH,2026-05-05 00:00:00+00:00,2345.9,2388.3,2343.9,2381.5,44800.764,26080
ETH,2026-05-05 04:00:00+00:00,2381.5,2389.2,2366.3,2379.7,43348.5025,22328
ETH,2026-05-05 08:00:00+00:00,2379.5,2383.4,2366.0,2378.6,27903.0484,18462
ETH,2026-05-05 12:00:00+00:00,2378.6,2398.4,2367.5,2380.2,128890.4385,48235
ETH,2026-05-05 16:00:00+00:00,2380.2,2382.5,2358.3,2370.7,58499.9355,25365
ETH,2026-05-05 20:00:00+00:00,2370.8,2387.5,2352.9,2359.3,87721.6319,33101
ETH,2026-05-06 00:00:00+00:00,2359.3,2379.9,2353.2,2375.6,59302.5746,24483
ETH,2026-05-06 04:00:00+00:00,2375.5,2378.3,2353.3,2370.8,48591.6787,25458
ETH,2026-05-06 08:00:00+00:00,2370.8,2423.8,2368.6,2409.7,194784.0833,59693
ETH,2026-05-06 12:00:00+00:00,2409.8,2413.7,2337.9,2358.1,177019.7028,70962
ETH,2026-05-06 16:00:00+00:00,2358.2,2366.5,2336.3,2348.0,50524.0385,30568
ETH,2026-05-06 20:00:00+00:00,2348.0,2356.3,2337.0,2350.2,44595.8371,18340
ETH,2026-05-07 00:00:00+00:00,2350.2,2351.7,2312.8,2321.1,76207.7462,30242
ETH,2026-05-07 04:00:00+00:00,2321.1,2345.9,2316.6,2343.4,40141.4731,19353
ETH,2026-05-07 08:00:00+00:00,2343.5,2345.7,2316.0,2328.9,49807.9043,28975
ETH,2026-05-07 12:00:00+00:00,2329.0,2335.7,2285.0,2293.6,99625.4299,44463
ETH,2026-05-07 16:00:00+00:00,2293.9,2303.8,2279.3,2295.6,56086.0106,28912
ETH,2026-05-07 20:00:00+00:00,2295.6,2302.3,2280.6,2290.6,38561.4089,19723
ETH,2026-05-08 00:00:00+00:00,2290.7,2293.9,2263.4,2278.0,62812.2844,20681
ETH,2026-05-08 04:00:00+00:00,2278.0,2283.9,2266.0,2280.3,18344.9849,13383
ETH,2026-05-08 08:00:00+00:00,2280.3,2296.6,2279.0,2294.5,21597.1001,16467
ETH,2026-05-08 12:00:00+00:00,2294.4,2300.0,2268.4,2292.5,75892.3633,29928
ETH,2026-05-08 16:00:00+00:00,2292.4,2321.1,2285.4,2314.9,102928.5791,30951
ETH,2026-05-08 20:00:00+00:00,2315.0,2318.4,2302.4,2306.8,49181.8234,14964
ETH,2026-05-09 00:00:00+00:00,2306.8,2320.1,2304.0,2315.1,36791.9422,12690
ETH,2026-05-09 04:00:00+00:00,2314.9,2325.3,2310.4,2314.2,24330.519,11010
ETH,2026-05-09 08:00:00+00:00,2314.1,2319.6,2309.2,2314.1,15632.9316,10064
ETH,2026-05-09 12:00:00+00:00,2314.1,2317.7,2298.8,2316.3,30103.6105,18022
ETH,2026-05-09 16:00:00+00:00,2316.3,2337.5,2314.1,2331.1,49194.5469,23414
ETH,2026-05-09 20:00:00+00:00,2331.1,2332.8,2324.0,2326.0,13087.8905,9230
ETH,2026-05-10 00:00:00+00:00,2326.0,2332.5,2317.7,2327.1,34866.3545,15472
ETH,2026-05-10 04:00:00+00:00,2327.2,2331.3,2325.6,2327.1,16619.2836,10002
